[08:09:11] [warning] Core: [Renderer]: Selected Physical Device has: 179 extensions...
[08:09:11] [trace] Core: [Renderer]: 	VK_KHR_16bit_storage
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_attachment_feedback_loop_dynamic_state
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_attachment_feedback_loop_layout
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_blend_operation_advanced
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_border_color_swizzle
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_buffer_device_address
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_calibrated_timestamps
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_color_write_enable
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_conditional_rendering
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_conservative_rasterization
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_custom_border_color
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_depth_bias_control
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_depth_clamp_zero_one
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_depth_clip_control
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_depth_clip_enable
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_depth_range_unrestricted
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_descriptor_buffer
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_descriptor_indexing
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_discard_rectangles
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_dynamic_rendering_unused_attachments
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_extended_dynamic_state
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_extended_dynamic_state2
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_extended_dynamic_state3
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_external_memory_host
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_fragment_shader_interlock
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_full_screen_exclusive
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_global_priority
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_global_priority_query
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_graphics_pipeline_library
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_hdr_metadata
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_host_image_copy
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_host_query_reset
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_image_2d_view_of_3d
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_image_robustness
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_image_sliced_view_of_3d
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_image_view_min_lod
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_index_type_uint8
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_inline_uniform_block
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_line_rasterization
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_load_store_op_none
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_memory_budget
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_memory_priority
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_multi_draw
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_nested_command_buffer
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_non_seamless_cube_map
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_pci_bus_info
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_pipeline_creation_cache_control
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_pipeline_creation_feedback
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_pipeline_robustness
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_post_depth_coverage
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_primitive_topology_list_restart
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_primitives_generated_query
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_private_data
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_provoking_vertex
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_queue_family_foreign
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_robustness2
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_sample_locations
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_sampler_filter_minmax
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_scalar_block_layout
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_separate_stencil_usage
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_atomic_float
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_demote_to_helper_invocation
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_image_atomic_int64
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_module_identifier
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_object
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_subgroup_ballot
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_subgroup_vote
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_shader_viewport_index_layer
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_subgroup_size_control
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_swapchain_maintenance1
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_texel_buffer_alignment
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_tooling_info
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_transform_feedback
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_vertex_attribute_divisor
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_vertex_input_dynamic_state
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_ycbcr_2plane_444_formats
[08:09:11] [trace] Core: [Renderer]: 	VK_EXT_ycbcr_image_arrays
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_acquire_winrt_display
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_clip_space_w_scaling
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_copy_memory_indirect
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_coverage_reduction_mode
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_dedicated_allocation
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_dedicated_allocation_image_aliasing
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_descriptor_pool_overallocation
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_device_diagnostic_checkpoints
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_device_diagnostics_config
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_device_generated_commands
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_device_generated_commands_compute
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_external_memory
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_external_memory_win32
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_fill_rectangle
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_fragment_coverage_to_color
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_framebuffer_mixed_samples
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_geometry_shader_passthrough
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_inherited_viewport_scissor
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_linear_color_attachment
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_low_latency
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_low_latency2
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_memory_decompression
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_sample_mask_override_coverage
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_shader_sm_builtins
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_shader_subgroup_partitioned
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_viewport_array2
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_viewport_swizzle
[08:09:11] [trace] Core: [Renderer]: 	VK_NV_win32_keyed_mutex
[08:09:11] [trace] Core: [Renderer]: 	VK_NVX_multiview_per_view_attributes
[08:09:11] [trace] Core: [Renderer]: 	VK_AMD_buffer_marker
[08:09:11] [info] Core: [Renderer]: Vendor: NVIDIA
[08:09:11] [info] Core: [Renderer]: Device: NVIDIA GeForce MX330
[08:09:11] [info] Core: [Renderer]: Driver Version: 2315452416
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 80.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 80.00 Bytes, Current Memory Usage: 80.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 80.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 160.00 Bytes, Current Memory Usage: 160.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Destroying buffer with size: 80.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Allocating buffer with size: 24.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: IndexBuffer: Total allocated: 184.00 Bytes, Current Memory Usage: 104.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Allocating buffer with size: 24.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: IndexBuffer: Total allocated: 208.00 Bytes, Current Memory Usage: 128.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Destroying buffer with size: 24.00 Bytes
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/Compositing.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 1 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 2 with 0 ubo's, 2 samplers
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/Grid.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 1 with 1 ubo's, 0 samplers
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/PlaygroundStatic.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 1 with 1 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 2 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 3 with 0 ubo's, 4 samplers
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/PreDepth.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 1 with 1 ubo's, 0 samplers
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/Renderer2D_Line.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 1 ubo's, 0 samplers
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/Renderer2D_Quad.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 1 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 1 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 2 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 3 with 0 ubo's, 1 samplers
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/TexturePass.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 1 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 2 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 3 with 0 ubo's, 1 samplers
[08:09:11] [debug] Core: [ShaderCompiler]: Compiling shader: Resources/Shaders/Src/WireFrame.glsl
[08:09:11] [info] Core: [Shader]: Creating descriptor set 0 with 0 ubo's, 0 samplers
[08:09:11] [info] Core: [Shader]: Creating descriptor set 1 with 1 ubo's, 0 samplers
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 512.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 720.00 Bytes, Current Memory Usage: 616.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating buffer with size: 4.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 724.00 Bytes, Current Memory Usage: 620.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Destroying buffer with size: 4.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 512.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 1.21 KB, Current Memory Usage: 1.10 KB
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating buffer with size: 4.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 1.21 KB, Current Memory Usage: 1.11 KB
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Destroying buffer with size: 4.00 Bytes
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 512.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 1.71 KB, Current Memory Usage: 1.60 KB
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating buffer with size: 4.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 1.71 KB, Current Memory Usage: 1.61 KB
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Destroying buffer with size: 4.00 Bytes
[08:09:11] [warning] Core: [Renderer]: Initializing Scene Renderer for scene: Runtime Scene
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 512.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 2.21 KB, Current Memory Usage: 2.10 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 512.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 2.71 KB, Current Memory Usage: 2.60 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 512.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 3.21 KB, Current Memory Usage: 3.10 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 256.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 3.46 KB, Current Memory Usage: 3.35 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 256.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 3.71 KB, Current Memory Usage: 3.60 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 256.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 3.96 KB, Current Memory Usage: 3.85 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 256.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 4.21 KB, Current Memory Usage: 4.10 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 256.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 4.46 KB, Current Memory Usage: 4.35 KB
[08:09:11] [trace] Core: [VulkanAllocator]: UnifromBuffer: Allocating buffer with size: 256.00 Bytes
[08:09:11] [info] Core: [VulkanAllocator]: UnifromBuffer: Total allocated: 4.71 KB, Current Memory Usage: 4.60 KB
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 8.44 MB
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 8.44 MB, Current Memory Usage: 8.44 MB
[08:09:11] [info] Core: [Renderer]: [RenderPass (Renderer2D-Quad)::Bake] update 1 descriptors in set 0
[08:09:11] [info] Core: [Renderer]: [RenderPass (Renderer2D-Quad)::Bake] update 1 descriptors in set 0
[08:09:11] [info] Core: [Renderer]: [RenderPass (Renderer2D-Quad)::Bake] update 1 descriptors in set 0
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 859.38 KB
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 9.28 MB, Current Memory Usage: 9.28 MB
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 859.38 KB
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 10.12 MB, Current Memory Usage: 10.12 MB
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 859.38 KB
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 10.96 MB, Current Memory Usage: 10.96 MB
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Allocating buffer with size: 117.19 KB
[08:09:11] [info] Core: [VulkanAllocator]: IndexBuffer: Total allocated: 11.07 MB, Current Memory Usage: 11.07 MB
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Allocating buffer with size: 117.19 KB
[08:09:11] [info] Core: [VulkanAllocator]: IndexBuffer: Total allocated: 11.19 MB, Current Memory Usage: 11.19 MB
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Destroying buffer with size: 117.19 KB
[08:09:11] [info] Core: [Renderer]: [RenderPass (Renderer2D-Line)::Bake] update 1 descriptors in set 0
[08:09:11] [info] Core: [Renderer]: [RenderPass (Renderer2D-Line)::Bake] update 1 descriptors in set 0
[08:09:11] [info] Core: [Renderer]: [RenderPass (Renderer2D-Line)::Bake] update 1 descriptors in set 0
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 109.38 KB
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 11.30 MB, Current Memory Usage: 11.18 MB
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 109.38 KB
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 11.40 MB, Current Memory Usage: 11.29 MB
[08:09:11] [trace] Core: [VulkanAllocator]: VertexBuffer: Allocating buffer with size: 109.38 KB
[08:09:11] [info] Core: [VulkanAllocator]: VertexBuffer: Total allocated: 11.51 MB, Current Memory Usage: 11.39 MB
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Allocating buffer with size: 46.88 KB
[08:09:11] [info] Core: [VulkanAllocator]: IndexBuffer: Total allocated: 11.55 MB, Current Memory Usage: 11.44 MB
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Allocating buffer with size: 46.88 KB
[08:09:11] [info] Core: [VulkanAllocator]: IndexBuffer: Total allocated: 11.60 MB, Current Memory Usage: 11.49 MB
[08:09:11] [trace] Core: [VulkanAllocator]: IndexBuffer: Destroying buffer with size: 46.88 KB
[08:09:11] [warning] Core: [Renderer]: [RenderPass (QuadMaterial)::Init] Setting u_Textures to white 2D texture.
[08:09:11] [info] Core: [Renderer]: [RenderPass (QuadMaterial)::Bake] update 1 descriptors in set 3
[08:09:11] [info] Core: [Renderer]: [RenderPass (QuadMaterial)::Bake] update 1 descriptors in set 3
[08:09:11] [info] Core: [Renderer]: [RenderPass (QuadMaterial)::Bake] update 1 descriptors in set 3
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 8.44 MB
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 20.04 MB, Current Memory Usage: 19.88 MB
[08:09:11] [info] Core: [Renderer]: [RenderPass (OpaquePreDepthRenderPass)::Bake] update 1 descriptors in set 1
[08:09:11] [info] Core: [Renderer]: [RenderPass (OpaquePreDepthRenderPass)::Bake] update 1 descriptors in set 1
[08:09:11] [info] Core: [Renderer]: [RenderPass (OpaquePreDepthRenderPass)::Bake] update 1 descriptors in set 1
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 33.75 MB
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 53.79 MB, Current Memory Usage: 53.63 MB
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 16.88 MB
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 70.66 MB, Current Memory Usage: 70.50 MB
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 8.44 MB
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 79.10 MB, Current Memory Usage: 78.94 MB
[08:09:11] [info] Core: [Renderer]: [RenderPass (StaticGeometryRenderPass)::Bake] update 1 descriptors in set 1
[08:09:11] [info] Core: [Renderer]: [RenderPass (StaticGeometryRenderPass)::Bake] update 1 descriptors in set 1
[08:09:11] [info] Core: [Renderer]: [RenderPass (StaticGeometryRenderPass)::Bake] update 1 descriptors in set 1
[08:09:11] [trace] Core: [VulkanAllocator]: Texture2D: Allocating image with size: 33.75 MB
[08:09:11] [info] Core: [VulkanAllocator]: Texture2D: Total allocated: 112.85 MB, Current Memory Usage: 112.69 MB
